timestamp,open,high,low,close,volume,symbol
2019-01-01,7.423,7.79,7.281,7.756,324745.139,NEO
2019-01-02,7.755,7.98,7.571,7.899,627670.323,NEO
2019-01-03,7.894,7.92,7.35,7.522,454100.415,NEO
2019-01-04,7.508,7.624,7.255,7.455,354826.346,NEO
2019-01-05,7.455,7.83,7.455,7.722,448918.94,NEO
2019-01-06,7.721,8.7,7.532,8.463,1109127.993,NEO
2019-01-07,8.466,8.82,8.15,8.36,1131945.451,NEO
2019-01-08,8.363,9.33,8.152,9.006,1550365.866,NEO
2019-01-09,9.006,9.65,8.899,8.999,1638995.713,NEO
2019-01-10,9.0,9.37,7.4,7.775,1900834.62,NEO
2019-01-11,7.771,7.93,7.509,7.735,788749.001,NEO
2019-01-12,7.732,7.756,7.459,7.563,430330.228,NEO
2019-01-13,7.562,7.658,6.854,6.984,672258.379,NEO
2019-01-14,6.982,7.844,6.98,7.812,835341.852,NEO
2019-01-15,7.812,7.851,7.236,7.418,730736.403,NEO
2019-01-16,7.416,7.793,7.351,7.551,547139.88,NEO
2019-01-17,7.552,7.694,7.307,7.664,506996.333,NEO
2019-01-18,7.667,7.709,7.41,7.505,295450.425,NEO
2019-01-19,7.503,8.262,7.487,7.901,571976.826,NEO
2019-01-20,7.898,8.05,7.22,7.452,685244.953,NEO
2019-01-21,7.456,7.542,7.251,7.41,407563.489,NEO
2019-01-22,7.405,7.718,7.05,7.6,541287.281,NEO
2019-01-23,7.591,7.634,7.368,7.461,412351.582,NEO
2019-01-24,7.458,7.67,7.373,7.642,289428.385,NEO
2019-01-25,7.643,7.65,7.385,7.493,244738.274,NEO
2019-01-26,7.493,7.65,7.406,7.438,216116.21,NEO
2019-01-27,7.438,7.558,7.146,7.336,377988.347,NEO
2019-01-28,7.336,7.373,6.723,6.921,619226.14,NEO
2019-01-29,6.921,7.128,6.666,6.979,425584.589,NEO
2019-01-30,6.979,7.13,6.774,7.048,381556.39,NEO
2019-01-31,7.047,7.158,6.753,6.861,269602.542,NEO
2019-02-01,6.865,7.05,6.72,6.967,247335.064,NEO
2019-02-02,6.963,7.262,6.828,7.237,305304.935,NEO
