symbol,timestamp,open,high,low,close,volume
USDC,1/1/2019,1.0025,1.0043,0.9911,0.9931,1713573.21
USDC,1/2/2019,0.9932,0.9968,0.99,0.9925,2234224.25
USDC,1/3/2019,0.9915,0.9954,0.9895,0.995,2803713.34
USDC,1/4/2019,0.9947,0.9971,0.9908,0.9926,2850109.22
USDC,1/5/2019,0.993,0.9945,0.9872,0.9933,2276490.65
USDC,1/6/2019,0.9921,0.9963,0.9832,0.9885,1805023.27
USDC,1/7/2019,0.9884,0.993,0.985,0.9922,1844381.99
USDC,1/8/2019,0.9921,0.9938,0.9857,0.9908,2449157.14
USDC,1/9/2019,0.9917,0.9939,0.99,0.9922,2687865.2
USDC,1/10/2019,0.9915,0.9939,0.9801,0.9885,7806326.47
USDC,1/11/2019,0.99,0.9918,0.9858,0.9918,5117171.06
USDC,1/12/2019,0.9911,0.9927,0.9728,0.9897,2719601.73
USDC,1/13/2019,0.991,0.9933,0.986,0.9902,1890391.38
USDC,1/14/2019,0.9902,0.9936,0.986,0.9889,2601431.04
USDC,1/15/2019,0.9889,0.9936,0.9865,0.9918,4396766.06
USDC,1/16/2019,0.9921,0.9965,0.99,0.9947,2249964.25
USDC,1/17/2019,0.9947,0.9979,0.993,0.9949,2663793.63
USDC,1/18/2019,0.9937,0.9979,0.9926,0.9977,2815694.38
USDC,1/19/2019,0.9977,0.9985,0.9927,0.9949,2652205.22
USDC,1/20/2019,0.996,1.002,0.9945,1.0006,1225058.89
USDC,1/21/2019,1.0006,1.0006,0.9969,1.0004,1544230.81
USDC,1/22/2019,0.9999,1.0038,0.9975,0.9979,2746435.44
USDC,1/23/2019,0.9979,1.0006,0.9975,0.9998,1833426.48
USDC,1/24/2019,1.0,1.0023,0.9975,1.0001,2551196.5
USDC,1/25/2019,1.0001,1.0036,0.9993,1.0013,1369411.89
USDC,1/26/2019,1.0014,1.004,0.9995,1.0039,1173569.99
USDC,1/27/2019,1.0035,1.0075,1.0022,1.0064,2206228.5
USDC,1/28/2019,1.0062,1.0075,1.0001,1.0023,4180510.62
USDC,1/29/2019,1.0023,1.0065,1.0,1.005,2040985.73
USDC,1/30/2019,1.005,1.0087,1.003,1.0069,2344727.06
USDC,1/31/2019,1.0069,1.0092,1.0036,1.0061,3088943.87
USDC,2/1/2019,1.0063,1.0131,1.0048,1.0093,2211876.57
USDC,2/2/2019,1.0094,1.011,1.0079,1.0105,1274496.23
USDC,2/3/2019,1.011,1.014,1.0091,1.0132,1377914.0
USDC,2/4/2019,1.0123,1.0162,1.004,1.014,1518459.01
USDC,2/5/2019,1.014,10.11,1.0102,1.0115,1352953.08
USDC,2/6/2019,1.0122,1.0158,1.0104,1.0118,1936728.07
USDC,2/7/2019,1.0118,1.0144,1.0105,1.0116,1062018.81
USDC,2/8/2019,1.0116,1.019,1.005,1.0097,3010113.08
